+-------+-----------+-----------------------------------------------+--------+
|   #   | Thread    |                      Song                     |  Time  |
+-------+-----------+-----------------------------------------------+--------+
|   1   | Thread-3  |                    诺思吉雅                   | 2.2702 |
|   2   | Thread-8  |                闯进姜塘(FLASH)                | 2.1526 |
|   3   | Thread-1  |                      倔强                     | 1.8133 |
|   4   | Thread-3  |                  命中的红珊瑚                 | 1.7844 |
|   5   | Thread-4  |                      是否                     | 1.7559 |
|   6   | Thread-10 |                     去远方                    | 1.6687 |
|   7   | Thread-7  |                你若安好便是晴天               | 1.6438 |
|   8   | Thread-4  |                  两个人的世界                 | 1.5074 |
|   9   | Thread-8  |                 爱你没错(高清)                | 1.4644 |
|   10  | Thread-10 |                   最牛幸福年                  | 1.4531 |
|   11  | Thread-8  |                      挑战                     | 1.4432 |
|   12  | Thread-10 |                绿岛小夜曲(MTV)                | 1.4331 |
|   13  | Thread-5  |                   千年的风沙                  | 1.3806 |
|   14  | Thread-6  |                    你不懂爱                   | 1.3379 |
|   15  | Thread-7  |                 美就是心中有爱                | 1.3310 |
|   16  | Thread-4  |                   蝴蝶吻花山                  | 1.3111 |
|   17  | Thread-6  |                      情缘                     | 1.3091 |
|   18  | Thread-4  |                      痊愈                     | 1.2965 |
|   19  | Thread-3  |                    添翼的路                   | 1.2802 |
|   20  | Thread-10 |                     明明就                    | 1.2781 |
|   21  | Thread-3  |                  天秤座的女子                 | 1.2767 |
|   22  | Thread-2  |               不再联系续集(MTV)               | 1.2737 |
|   23  | Thread-5  |                   眼泪中的爱                  | 1.2719 |
|   24  | Thread-5  |               不要说给不起的承诺              | 1.2680 |
|   25  | Thread-7  |                      卡门                     | 1.2625 |
|   26  | Thread-1  |                    相约如梦                   | 1.2548 |
|   27  | Thread-3  |                 17岁的异想世界                | 1.2365 |
|   28  | Thread-10 |                     望江亭                    | 1.2347 |
|   29  | Thread-6  |               你会不会后悔离开我              | 1.2215 |
|   30  | Thread-10 |                 一个人去迪士尼                | 1.2181 |
|   31  | Thread-6  |                     X_Spy                     | 1.2178 |
|   32  | Thread-3  |                含泪的分手(MTV)                | 1.2120 |
|   33  | Thread-10 |                   远处的灯火                  | 1.2035 |
|   34  | Thread-6  |                不得不服(FLASH)                | 1.2011 |
|   35  | Thread-3  |                 望着天空的女孩                | 1.1983 |
|   36  | Thread-8  |                   启航(MTV)                   | 1.1962 |
|   37  | Thread-9  |                    建平之恋                   | 1.1946 |
|   38  | Thread-5  |                   阿妈的奶茶                  | 1.1929 |
