+-------+-----------+-------------------------------------------------------------+--------+
|   #   | Thread    |                             Song                            |  Time  |
+-------+-----------+-------------------------------------------------------------+--------+
|   1   | Thread-6  |                         郎郎(马志锋)                        | 1.3426 |
|   2   | Thread-1  |                          酒干倘卖无                         | 1.2985 |
|   3   | Thread-8  |                           不如归去                          | 1.2878 |
|   4   | Thread-5  |                          星星知我心                         | 1.2863 |
|   5   | Thread-3  |                           惊天动地                          | 1.1330 |
|   6   | Thread-7  |                          灵魂的共鸣                         | 0.9124 |
|   7   | Thread-4  |                      老婆减肥(DJ)(高清)                     | 0.8687 |
|   8   | Thread-9  |                       跨过高山越过平原                      | 0.8153 |
|   9   | Thread-10 |                           刀剑如梦                          | 0.7571 |
|   10  | Thread-2  |                          分手的理由                         | 0.7301 |
|   11  | Thread-2  |                          只能抱着你                         | 0.5748 |
|   12  | Thread-9  |                          想念的重量                         | 0.5746 |
|   13  | Thread-2  |                           跳槽之歌                          | 0.2553 |
|   14  | Thread-4  |                       其实你不懂我的心                      | 0.1791 |
|   15  | Thread-1  |               荒废了16年_17岁后重头来过(FLASH)              | 0.1352 |
|   16  | Thread-1  |                    现代的爱情都背判了永远                   | 0.1125 |
|   17  | Thread-4  |                             2008                            | 0.1085 |
|   18  | Thread-10 |                             松松                            | 0.0498 |
|   19  | Thread-3  |                         云笙叹轩辕剑                        | 0.0488 |
|   20  | Thread-10 |                            练习题                           | 0.0487 |
|   21  | Thread-8  |                           热辣女人                          | 0.0483 |
|   22  | Thread-2  |                         想念你的心情                        | 0.0468 |
|   23  | Thread-2  |                         唱起来跳起来                        | 0.0462 |
|   24  | Thread-8  |                           死心塌地                          | 0.0460 |
|   25  | Thread-2  |                            杜鹃花                           | 0.0440 |
|   26  | Thread-10 |                          今宵多珍重                         | 0.0416 |
|   27  | Thread-2  |                     永远的陌生我如此熟悉                    | 0.0397 |
|   28  | Thread-4  |                           不爱别的                          | 0.0396 |
|   29  | Thread-4  |                           黑白小巷                          | 0.0390 |
|   30  | Thread-3  |                         毛主席派人来                        | 0.0384 |
|   31  | Thread-8  |                           明天以后                          | 0.0339 |
|   32  | Thread-8  |                 感情线SHE`S_THE_ONE(演唱会)                 | 0.0337 |
|   33  | Thread-4  |                         再别再别康桥                        | 0.0331 |
|   34  | Thread-6  |                            吸血鬼                           | 0.0325 |
|   35  | Thread-8  |                         C_Est_La_Vie                        | 0.0324 |
|   36  | Thread-6  |                          你只在乎你                         | 0.0317 |
|   37  | Thread-4  |                          Now_I_See                          | 0.0290 |
|   38  | Thread-1  |                           爱无止尽                          | 0.0285 |
|   39  | Thread-6  |                             猫咪                            | 0.0278 |
|   40  | Thread-8  |                             乡愁                            | 0.0276 |
|   41  | Thread-6  |                     共产儿童团歌(影视剧)                    | 0.0269 |
|   42  | Thread-7  |                           敖包相会                          | 0.0264 |
|   43  | Thread-2  |                             夏雪                            | 0.0263 |
|   44  | Thread-2  |                             金银                            | 0.0260 |
|   45  | Thread-10 |                          不再玩泥沙                         | 0.0259 |
|   46  | Thread-2  |                          你是我唯一                         | 0.0256 |
|   47  | Thread-6  |                    万一奥特曼打不赢小怪兽                   | 0.0256 |
|   48  | Thread-8  |                             诺言                            | 0.0256 |
|   49  | Thread-4  |                          打不尽豺狼                         | 0.0255 |
|   50  | Thread-10 |                           哎呀之DJ                          | 0.0255 |
|   51  | Thread-8  |                             听说                            | 0.0255 |
|   52  | Thread-8  |                           魂萦旧梦                          | 0.0253 |
|   53  | Thread-10 |                           丢(MTV)                           | 0.0248 |
|   54  | Thread-1  |                          Boyfriend                          | 0.0247 |
|   55  | Thread-3  |                        心儿跟着妹妹走                       | 0.0247 |
|   56  | Thread-3  |                           燃烧攻击                          | 0.0244 |
|   57  | Thread-10 |                        梅兰梅兰我爱你                       | 0.0242 |
|   58  | Thread-9  |                              她                             | 0.0241 |
